,0
0,little encouragement aeromagnetic and/or geochemistry prospective ultramafic rock area relinquish
1,2004 nickel pge potential narndee windimurra intrusion report apex minerals nl matheson c.i booth r. a.
2,narndee mulyeron hill area interpret great potential nickel sulphide mineralisation
3,area relinquish appear contain prospective ground discovery nickel sulphide pge mineralisation
4,area select potential nickel copper pge mineralisation associate feeder narndee windimurra intrusion
5,furthermore extensive costeaning rab rc drilling conduct line historical gold working central west licence close proximity traverse great northern highway
6,centre patch gold nugget delineate
7,possible gold initially concentrate laterite remain eluvial deposit erosion laterite
8,significant difference geology map pirajno occhipinti 1998 note 4 i!i d map grid australia 1994 zone 50 mineral petroleum
9,extensive outcrop sediment oppose ironstone duricrust south central portion licence
