,0
0,little encouragement aeromagnetics and/or geochemistry prospective ultramafic rocks area relinquished
1,2004 nickel pge potential narndee windimurra intrusions report apex minerals nl matheson c.i booth r. a.
2,narndee mulyeron hill areas interpreted having greater potential nickel sulphide mineralisation
3,area relinquished appear contain prospective ground discovery nickel sulphide pge mineralisation
4,area selected potential nickel copper pge mineralisation associated feeders narndee windimurra intrusions
5,furthermore extensive costeaning rab rc drilling conducted line historical gold workings central west licence close proximity traversing great northern highway
6,centres patches gold nuggets delineated
7,possible gold initially concentrated laterite remained eluvial deposit erosion laterite
8,significant differences geology mapped pirajno occhipinti 1998 noted 4 i!i d map grid australia 1994 zone 50 mineral petroleum
9,extensive outcrops sediments opposed ironstone duricrust south central portion licence
