,0
0,there be very little encouragement in either the aeromagnetic and/or the geochemistry that there be prospective ultramafic rock in the area relinquish
1,2004 the nickel pge potential of the narndee and windimurra intrusion a report for apex minerals nl matheson c.i booth r. a.
2,the narndee and mulyeron hill area be interpret as have great potential for nickel sulphide mineralisation
3,the area to be relinquish do not appear to contain prospective ground for the discovery of nickel sulphide or pge mineralisation
4,the area be select for potential nickel copper pge mineralisation associate with feeder to the narndee and windimurra intrusion
5,furthermore extensive costeaning rab and rc drilling have be conduct along a line of historical gold working in the central west of the licence in close proximity to and traverse the great northern highway
6,two centre patch of gold nugget be delineate
7,be possible that the gold be initially concentrate in the laterite and remain as an eluvial deposit on the erosion of the laterite
8,no significant difference to the geology map by pirajno and occhipinti 1998 be note other 4 i!i d map grid of australia 1994 zone 50 mineral and petroleum
9,than more extensive outcrop of sediment as oppose to ironstone duricrust in the south central portion of the licence
